id,time,history_state,utter,current_state,action,"
"
12,2019-01-10 18:24:39,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
12,2019-01-10 18:24:39,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '购买,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '购买': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '购买': 'none', '了解': 'none', '预约': 'none'}"
13,2019-01-11 09:29:44,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
13,2019-01-11 09:29:44,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '购买,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '购买': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '购买': 'none', '了解': 'none', '预约': 'none'}"
13,2019-01-11 09:30:12,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
13,2019-01-11 09:30:12,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '购买,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '购买': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '购买': 'none', '了解': 'none', '预约': 'none'}"
13,2019-01-11 09:32:12,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
13,2019-01-11 09:32:29,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '购买,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '购买': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '购买': 'none', '了解': 'none', '预约': 'none'}"
14,2019-01-11 09:33:50,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '购买,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
14,2019-01-11 09:34:19,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
14,2019-01-11 09:34:19,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '买过,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '买过': 'none', '了解': 'none', '预约': 'none'}"
14,2019-01-11 09:34:19,"['身份,none', '配合,是', '买过,none', '了解,none', '预约,none']",好的,"['身份,员工', '配合,是', '买过,none', '了解,none', '预约,none']","['', '询问语员工-买过-是']","{'身份': ['员工'], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['员工']}","{'身份': '员工', '配合': 'none', '买过': 'none', '了解': 'none', '预约': 'none'}"
14,2019-01-11 10:55:32,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
14,2019-01-15 16:55:30,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
14,2019-01-15 16:55:30,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '买过,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '买过': 'none', '了解': 'none', '预约': 'none'}"
15,2019-01-15 16:58:24,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
15,2019-01-15 16:58:24,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '买过,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '买过': 'none', '了解': 'none', '预约': 'none'}"
15,2019-01-15 16:58:40,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
15,2019-01-15 16:58:40,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '买过,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '买过': 'none', '了解': 'none', '预约': 'none'}"
16,2019-01-15 16:58:54,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
16,2019-01-15 16:58:54,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '买过,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '买过': 'none', '了解': 'none', '预约': 'none'}"
16,2019-01-15 16:59:09,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
16,2019-01-15 16:59:16,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
16,2019-01-15 16:59:16,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '买过,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '买过': 'none', '了解': 'none', '预约': 'none'}"
16,2019-01-15 16:59:32,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
16,2019-01-15 16:59:41,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '买过,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '买过': 'none', '了解': 'none', '预约': 'none'}"
16,2019-01-15 18:20:30,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
16,2019-01-15 18:21:08,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '买过,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '买过': 'none', '了解': 'none', '预约': 'none'}"
16,2019-01-15 18:28:58,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
16,2019-01-15 18:28:58,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '买过,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '买过': 'none', '了解': 'none', '预约': 'none'}"
员工,2019-01-15 18:28:58,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",好的,"['身份,员工', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']","{'身份': ['员工'], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['员工']}","{'身份': '员工', '配合': 'none', '买过': 'none', '了解': 'none', '预约': 'none'}"
16,2019-01-15 18:29:26,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']","['开场语-身份阐述', '询问语-配合-是']",,
16,2019-01-15 18:29:26,"['身份,none', '配合,none', '买过,none', '了解,none', '预约,none']",好的,"['身份,none', '配合,是', '买过,none', '了解,none', '预约,none']","['开场语-感谢配合', '询问语-身份']","{'身份': [None], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['肯定']}","{'身份': 'none', '配合': '是', '买过': 'none', '了解': 'none', '预约': 'none'}"
员工,2019-01-15 18:29:26,"['身份,员工', '配合,none', '买过,none', '了解,none', '预约,none']",好的,"['身份,员工', '配合,是', '买过,none', '了解,none', '预约,none']","['', '询问语员工-买过-是']","{'身份': ['员工'], '配合': [None], '买过': [None], '了解': [None], '预约': [None], '意图': ['员工']}","{'身份': '员工', '配合': 'none', '买过': 'none', '了解': 'none', '预约': 'none'}"
